CAP CODE,Manufacturer,Model,Variant,Basic List Price
GSG720PLI4SPTA,Genesis,G70,Genesis G70 Saloon 2.0T Premium Line 4Dr Auto [innovation Pack],29125
GSG720LUL4SPTA,Genesis,G70,Genesis G70 Saloon 2.0T Luxury Line 4Dr Auto,30958.33
GSG720LLI4SPTA,Genesis,G70,Genesis G70 Saloon 2.0T Luxury Line 4Dr Auto [innovation Pack],33666.67
GSG720SPL4SPTA,Genesis,G70,Genesis G70 Saloon 2.0T Sport Line 4Dr Auto,31941.67
GSG720SLI4SPTA,Genesis,G70,Genesis G70 Saloon 2.0T Sport Line 4Dr Auto [innovation Pack],34650
VAMK12ULT5HPTA  1,Vauxhall,Mokka,Vauxhall Mokka Hatchback 1.2 Turbo Ultimate 5Dr Auto,24762.5
VAMK15ULT5HDTM  1,Vauxhall,Mokka,Vauxhall Mokka Diesel Hatchback 1.5 Turbo D Ultimate 5Dr,23929.17
VACO12ULT5HPTM  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo Ultimate 5Dr,18691.67
VACO12ULT5HPTA  6,Vauxhall,Corsa,Vauxhall Corsa Hatchback 1.2 Turbo Ultimate 5Dr Auto,20941.67
CIST00B915EE A,Citroen,Space Tourer,Citroen E-space Tourer Electric Estate 100kW Business Ed M [9 St] 50kWh 5Dr Auto,26070.83
CIST00B815EE A,Citroen,Space Tourer,Citroen E-space Tourer Electric Estate 100kW Business Ed M [8 St] 50kWh 5Dr Auto,26070.83
CIST00F815EE A,Citroen,Space Tourer,Citroen E-space Tourer Electric Estate 100kW Flair M [8 Seat] 50kWh 5Dr Auto [11,39154.17
